,pagecount_mobile_views,pagecount_desktop_views,pageview_mobile_views,pageview_desktop_views,pagecount_all_views,pageview_all_views,year,month
83,0.0,4930902570.0,0.0,0.0,4930902570.0,0.0,2008,01
84,0.0,4818393763.0,0.0,0.0,4818393763.0,0.0,2008,02
85,0.0,4955405809.0,0.0,0.0,4955405809.0,0.0,2008,03
86,0.0,5159162183.0,0.0,0.0,5159162183.0,0.0,2008,04
87,0.0,5584691092.0,0.0,0.0,5584691092.0,0.0,2008,05
88,0.0,5712104279.0,0.0,0.0,5712104279.0,0.0,2008,06
89,0.0,5306302874.0,0.0,0.0,5306302874.0,0.0,2008,07
90,0.0,5140155519.0,0.0,0.0,5140155519.0,0.0,2008,08
91,0.0,5479533823.0,0.0,0.0,5479533823.0,0.0,2008,09
92,0.0,5679440782.0,0.0,0.0,5679440782.0,0.0,2008,10
93,0.0,5415832071.0,0.0,0.0,5415832071.0,0.0,2008,11
94,0.0,5211708451.0,0.0,0.0,5211708451.0,0.0,2008,12
95,0.0,5802681551.0,0.0,0.0,5802681551.0,0.0,2009,01
96,0.0,5547320860.0,0.0,0.0,5547320860.0,0.0,2009,02
97,0.0,6295159057.0,0.0,0.0,6295159057.0,0.0,2009,03
98,0.0,5988817321.0,0.0,0.0,5988817321.0,0.0,2009,04
99,0.0,6267516733.0,0.0,0.0,6267516733.0,0.0,2009,05
100,0.0,5818924182.0,0.0,0.0,5818924182.0,0.0,2009,06
101,0.0,5801646978.0,0.0,0.0,5801646978.0,0.0,2009,07
102,0.0,5790850384.0,0.0,0.0,5790850384.0,0.0,2009,08
103,0.0,4057515768.0,0.0,0.0,4057515768.0,0.0,2009,09
104,0.0,6016107147.0,0.0,0.0,6016107147.0,0.0,2009,10
105,0.0,5768486910.0,0.0,0.0,5768486910.0,0.0,2009,11
106,0.0,5426505977.0,0.0,0.0,5426505977.0,0.0,2009,12
107,0.0,5703465285.0,0.0,0.0,5703465285.0,0.0,2010,01
108,0.0,5762451418.0,0.0,0.0,5762451418.0,0.0,2010,02
109,0.0,6661347946.0,0.0,0.0,6661347946.0,0.0,2010,03
110,0.0,6618552152.0,0.0,0.0,6618552152.0,0.0,2010,04
111,0.0,6410578775.0,0.0,0.0,6410578775.0,0.0,2010,05
112,0.0,4898035014.0,0.0,0.0,4898035014.0,0.0,2010,06
113,0.0,5296177638.0,0.0,0.0,5296177638.0,0.0,2010,07
114,0.0,7381346660.0,0.0,0.0,7381346660.0,0.0,2010,08
115,0.0,7546488744.0,0.0,0.0,7546488744.0,0.0,2010,09
116,0.0,10172844562.0,0.0,0.0,10172844562.0,0.0,2010,10
117,0.0,6948678354.0,0.0,0.0,6948678354.0,0.0,2010,11
118,0.0,7001952100.0,0.0,0.0,7001952100.0,0.0,2010,12
119,0.0,7568511227.0,0.0,0.0,7568511227.0,0.0,2011,01
120,0.0,6906248849.0,0.0,0.0,6906248849.0,0.0,2011,02
121,0.0,7326545928.0,0.0,0.0,7326545928.0,0.0,2011,03
122,0.0,6835492088.0,0.0,0.0,6835492088.0,0.0,2011,04
123,0.0,7009799378.0,0.0,0.0,7009799378.0,0.0,2011,05
124,0.0,6536675534.0,0.0,0.0,6536675534.0,0.0,2011,06
125,0.0,6571730164.0,0.0,0.0,6571730164.0,0.0,2011,07
126,0.0,6514500361.0,0.0,0.0,6514500361.0,0.0,2011,08
127,0.0,5837738935.0,0.0,0.0,5837738935.0,0.0,2011,09
128,0.0,6974424665.0,0.0,0.0,6974424665.0,0.0,2011,10
129,0.0,7507641641.0,0.0,0.0,7507641641.0,0.0,2011,11
130,0.0,6396357939.0,0.0,0.0,6396357939.0,0.0,2011,12
131,0.0,7808477339.0,0.0,0.0,7808477339.0,0.0,2012,01
132,0.0,7530127141.0,0.0,0.0,7530127141.0,0.0,2012,02
133,0.0,7358543625.0,0.0,0.0,7358543625.0,0.0,2012,03
134,0.0,7220029422.0,0.0,0.0,7220029422.0,0.0,2012,04
135,0.0,7784479302.0,0.0,0.0,7784479302.0,0.0,2012,05
136,0.0,7524265988.0,0.0,0.0,7524265988.0,0.0,2012,06
137,0.0,7819376527.0,0.0,0.0,7819376527.0,0.0,2012,07
138,0.0,7885641059.0,0.0,0.0,7885641059.0,0.0,2012,08
139,0.0,7913689733.0,0.0,0.0,7913689733.0,0.0,2012,09
140,0.0,8379960050.0,0.0,0.0,8379960050.0,0.0,2012,10
141,0.0,8219987195.0,0.0,0.0,8219987195.0,0.0,2012,11
142,0.0,8033826900.0,0.0,0.0,8033826900.0,0.0,2012,12
143,0.0,9126210673.0,0.0,0.0,9126210673.0,0.0,2013,01
144,0.0,8100597857.0,0.0,0.0,8100597857.0,0.0,2013,02
145,0.0,8701419671.0,0.0,0.0,8701419671.0,0.0,2013,03
146,0.0,8049296729.0,0.0,0.0,8049296729.0,0.0,2013,04
147,0.0,8089099883.0,0.0,0.0,8089099883.0,0.0,2013,05
148,0.0,7759959725.0,0.0,0.0,7759959725.0,0.0,2013,06
149,0.0,8237301982.0,0.0,0.0,8237301982.0,0.0,2013,07
150,0.0,9306122925.0,0.0,0.0,9306122925.0,0.0,2013,08
151,0.0,9985326806.0,0.0,0.0,9985326806.0,0.0,2013,09
152,0.0,10775158269.0,0.0,0.0,10775158269.0,0.0,2013,10
153,0.0,10414877805.0,0.0,0.0,10414877805.0,0.0,2013,11
154,0.0,7102459747.0,0.0,0.0,7102459747.0,0.0,2013,12
155,0.0,7026531269.0,0.0,0.0,7026531269.0,0.0,2014,01
156,0.0,6718243109.0,0.0,0.0,6718243109.0,0.0,2014,02
157,0.0,7464128273.0,0.0,0.0,7464128273.0,0.0,2014,03
158,0.0,7216245221.0,0.0,0.0,7216245221.0,0.0,2014,04
159,0.0,7543277646.0,0.0,0.0,7543277646.0,0.0,2014,05
160,0.0,6577352648.0,0.0,0.0,6577352648.0,0.0,2014,06
161,0.0,6761059566.0,0.0,0.0,6761059566.0,0.0,2014,07
162,0.0,6687313714.0,0.0,0.0,6687313714.0,0.0,2014,08
163,0.0,7564600999.0,0.0,0.0,7564600999.0,0.0,2014,09
74,3091546685.0,6577533128.0,0.0,0.0,9669079813.0,0.0,2014,10
75,3027489668.0,6153537606.0,0.0,0.0,9181027274.0,0.0,2014,11
76,3278950021.0,5830332248.0,0.0,0.0,9109282269.0,0.0,2014,12
77,3485302091.0,6103767055.0,0.0,0.0,9589069146.0,0.0,2015,01
78,3091534479.0,5602710439.0,0.0,0.0,8694244918.0,0.0,2015,02
79,3330832588.0,6346602713.0,0.0,0.0,9677435301.0,0.0,2015,03
80,3222089917.0,6198945657.0,0.0,0.0,9421035574.0,0.0,2015,04
81,3334069483.0,6323801814.0,0.0,0.0,9657871297.0,0.0,2015,05
82,3038162463.0,5165413640.0,0.0,0.0,8203576103.0,0.0,2015,06
0,3254472695.0,5229226022.0,3288755294.0,4376666686.0,8483698717.0,7665421980.0,2015,07
1,3268487582.0,5035534449.0,3302333038.0,4332482183.0,8304022031.0,7634815221.0,2015,08
2,3172429827.0,5409631355.0,3170203333.0,4485491704.0,8582061182.0,7655695037.0,2015,09
3,3246082505.0,5535704471.0,3268499132.0,4477532755.0,8781786976.0,7746031887.0,2015,10
4,3218234512.0,5296956116.0,3236601070.0,4287720220.0,8515190628.0,7524321290.0,2015,11
5,3387411863.0,5264446173.0,3376275307.0,4100012037.0,8651858036.0,7476287344.0,2015,12
6,3739628742.0,5569632502.0,3717836846.0,4436179457.0,9309261244.0,8154016303.0,2016,01
7,3333231392.0,5347709361.0,3334862272.0,4250997185.0,8680940753.0,7585859457.0,2016,02
8,3419853636.0,5407676056.0,3386684191.0,4286590426.0,8827529692.0,7673274617.0,2016,03
9,3301385124.0,5572235399.0,3258764002.0,4149383857.0,8873620523.0,7408147859.0,2016,04
10,3418435805.0,5330532334.0,3395033236.0,4191778094.0,8748968139.0,7586811330.0,2016,05
11,3372618063.0,4975092447.0,3354790945.0,3888839711.0,8347710510.0,7243630656.0,2016,06
12,3500661121.0,5363966439.0,3496573762.0,4337865827.0,8864627560.0,7834439589.0,2016,07
13,0.0,0.0,3515819303.0,4695046216.0,0.0,8210865519.0,2016,08
14,0.0,0.0,3393285781.0,4135006498.0,0.0,7528292279.0,2016,09
15,0.0,0.0,3509283891.0,4361737690.0,0.0,7871021581.0,2016,10
16,0.0,0.0,3591044925.0,4392068236.0,0.0,7983113161.0,2016,11
17,0.0,0.0,3776543855.0,4209608578.0,0.0,7986152433.0,2016,12
18,0.0,0.0,4231961542.0,4521980398.0,0.0,8753941940.0,2017,01
19,0.0,0.0,3711761399.0,4026702163.0,0.0,7738463562.0,2017,02
20,0.0,0.0,3903493989.0,4319971902.0,0.0,8223465891.0,2017,03
21,0.0,0.0,3639623119.0,3951456992.0,0.0,7591080111.0,2017,04
22,0.0,0.0,3686687720.0,4187870579.0,0.0,7874558299.0,2017,05
23,0.0,0.0,3519383193.0,3604550997.0,0.0,7123934190.0,2017,06
24,0.0,0.0,3725059253.0,3565444544.0,0.0,7290503797.0,2017,07
25,0.0,0.0,3621406302.0,3575572313.0,0.0,7196978615.0,2017,08
26,0.0,0.0,3531604369.0,3547447892.0,0.0,7079052261.0,2017,09
27,0.0,0.0,3673120542.0,3907651639.0,0.0,7580772181.0,2017,10
28,0.0,0.0,3670012061.0,3816060923.0,0.0,7486072984.0,2017,11
29,0.0,0.0,3830136304.0,3640391096.0,0.0,7470527400.0,2017,12
30,0.0,0.0,4259282371.0,4111833689.0,0.0,8371116060.0,2018,01
31,0.0,0.0,3725680728.0,3634653694.0,0.0,7360334422.0,2018,02
32,0.0,0.0,4049874257.0,3965271925.0,0.0,8015146182.0,2018,03
33,0.0,0.0,3927398111.0,3762955419.0,0.0,7690353530.0,2018,04
34,0.0,0.0,4089188522.0,3675652396.0,0.0,7764840918.0,2018,05
35,0.0,0.0,3977766741.0,3278649434.0,0.0,7256416175.0,2018,06
36,0.0,0.0,4266113752.0,3457051589.0,0.0,7723165341.0,2018,07
37,0.0,0.0,4187362161.0,3399130789.0,0.0,7586492950.0,2018,08
38,0.0,0.0,3977120244.0,3433832231.0,0.0,7410952475.0,2018,09
39,0.0,0.0,4073789753.0,3640606578.0,0.0,7714396331.0,2018,10
40,0.0,0.0,4033380040.0,3448616562.0,0.0,7481996602.0,2018,11
41,0.0,0.0,4289054166.0,3379686909.0,0.0,7668741075.0,2018,12
42,0.0,0.0,4597597181.0,3616017826.0,0.0,8213615007.0,2019,01
43,0.0,0.0,4018109995.0,3244921935.0,0.0,7263031930.0,2019,02
44,0.0,0.0,4407290322.0,3439386600.0,0.0,7846676922.0,2019,03
45,0.0,0.0,4261664166.0,3330234244.0,0.0,7591898410.0,2019,04
46,0.0,0.0,4413766230.0,3364959217.0,0.0,7778725447.0,2019,05
47,0.0,0.0,4285985271.0,2986618238.0,0.0,7272603509.0,2019,06
48,0.0,0.0,4557266440.0,3140657554.0,0.0,7697923994.0,2019,07
49,0.0,0.0,4531756543.0,2979881198.0,0.0,7511637741.0,2019,08
50,0.0,0.0,4437958209.0,3061362632.0,0.0,7499320841.0,2019,09
51,0.0,0.0,4506591862.0,3588403486.0,0.0,8094995348.0,2019,10
52,0.0,0.0,4471241664.0,3252465442.0,0.0,7723707106.0,2019,11
53,0.0,0.0,4554269292.0,3097051994.0,0.0,7651321286.0,2019,12
54,0.0,0.0,4832149630.0,3440480235.0,0.0,8272629865.0,2020,01
55,0.0,0.0,4418801212.0,3176520359.0,0.0,7595321571.0,2020,02
56,0.0,0.0,4686270555.0,3412498274.0,0.0,8098768829.0,2020,03
57,0.0,0.0,5505741941.0,3798372613.0,0.0,9304114554.0,2020,04
58,0.0,0.0,5231700095.0,3078093615.0,0.0,8309793710.0,2020,05
59,0.0,0.0,4573975256.0,2721328557.0,0.0,7295303813.0,2020,06
60,0.0,0.0,4809714465.0,2638936132.0,0.0,7448650597.0,2020,07
61,0.0,0.0,4803308661.0,2613058239.0,0.0,7416366900.0,2020,08
62,0.0,0.0,4492250780.0,2661783500.0,0.0,7154034280.0,2020,09
63,0.0,0.0,4736574361.0,3041724497.0,0.0,7778298858.0,2020,10
64,0.0,0.0,4872392863.0,3095290471.0,0.0,7967683334.0,2020,11
65,0.0,0.0,4803608774.0,2868491144.0,0.0,7672099918.0,2020,12
66,0.0,0.0,5204475148.0,2997179790.0,0.0,8201654938.0,2021,01
67,0.0,0.0,4537138165.0,2761616525.0,0.0,7298754690.0,2021,02
68,0.0,0.0,4934262008.0,3141441360.0,0.0,8075703368.0,2021,03
69,0.0,0.0,4759095083.0,2882714492.0,0.0,7641809575.0,2021,04
70,0.0,0.0,4976579558.0,2824416177.0,0.0,7800995735.0,2021,05
71,0.0,0.0,4584510417.0,2505971366.0,0.0,7090481783.0,2021,06
72,0.0,0.0,4778909421.0,2765584368.0,0.0,7544493789.0,2021,07
73,0.0,0.0,4732194000.0,2763413934.0,0.0,7495607934.0,2021,08
